                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     58,               0.016689,               0.014126,               0.015795,                      0,                0.99935,                0.99876,                  0.995,                 0.9696,                0.99935,                0.99876,                  0.995,                0.82726,              0.0061269,              0.0072961,              0.0053273,                      0,                0.00829,                0.00829,                0.00829
                     59,               0.016555,               0.013847,               0.015893,                      0,                0.99954,                 0.9987,                  0.995,                0.96898,                0.99951,                0.99892,                  0.995,                0.82869,                0.00617,              0.0072326,                0.00533,                      0,                0.00826,                0.00826,                0.00826
                     60,               0.016487,               0.014043,               0.015989,                      0,                0.99926,                 0.9987,                0.99499,                0.96877,                0.99904,                0.99848,                0.99499,                0.82865,              0.0061238,              0.0072515,               0.005309,                      0,                0.00823,                0.00823,                0.00823
                     61,               0.016858,               0.014093,               0.016502,                      0,                0.99892,                0.99875,                0.99499,                0.97019,                0.99892,                0.99875,                0.99499,                0.82904,              0.0061393,              0.0072867,              0.0052883,                      0,                 0.0082,                 0.0082,                 0.0082
                     62,               0.016491,               0.013883,                0.01597,                      0,                0.99935,                0.99855,                0.99499,                0.97039,                0.99935,                0.99855,                0.99499,                0.82893,              0.0061203,              0.0072117,               0.005253,                      0,                0.00817,                0.00817,                0.00817
                     63,               0.016566,               0.013858,               0.015707,                      0,                0.99912,                0.99892,                0.99499,                0.97039,                0.99912,                0.99892,                0.99499,                 0.8312,              0.0060699,              0.0071877,              0.0051943,                      0,                0.00814,                0.00814,                0.00814
                     64,               0.016463,               0.013681,               0.015555,                      0,                0.99946,                0.99848,                0.99497,                0.97116,                0.99946,                0.99848,                0.99497,                0.83157,              0.0060066,              0.0071557,              0.0051378,                      0,                0.00811,                0.00811,                0.00811
                     65,                0.01661,               0.013886,               0.015738,                      0,                0.99892,                0.99858,                0.99499,                 0.9719,                0.99892,                0.99858,                0.99499,                0.83243,              0.0060126,              0.0071087,              0.0051689,                      0,                0.00808,                0.00808,                0.00808
                     66,               0.016554,               0.013856,                 0.0159,                      0,                0.99935,                0.99848,                0.99499,                0.97228,                0.99935,                0.99848,                0.99499,                 0.8335,              0.0059675,              0.0070925,              0.0051486,                      0,                0.00805,                0.00805,                0.00805
                     67,               0.016593,               0.013988,               0.015999,                      0,                0.99913,                0.99877,                  0.995,                0.97404,                0.99913,                0.99877,                  0.995,                0.83387,              0.0059291,              0.0071344,              0.0051205,                      0,                0.00802,                0.00802,                0.00802
                     68,               0.016479,               0.013918,               0.015827,                      0,                0.99935,                0.99874,                  0.995,                0.97408,                0.99935,                0.99874,                  0.995,                0.83361,              0.0059262,              0.0071102,              0.0050986,                      0,                0.00799,                0.00799,                0.00799
                     69,               0.016135,               0.013648,               0.015485,                      0,                0.99957,                0.99827,                  0.995,                0.97345,                0.99957,                0.99827,                  0.995,                0.83467,              0.0059288,              0.0070714,              0.0050891,                      0,                0.00796,                0.00796,                0.00796
                     70,               0.016215,               0.013767,               0.015688,                      0,                0.99931,                0.99913,                  0.995,                0.97345,                0.99931,                0.99913,                  0.995,                0.83456,              0.0059096,              0.0070378,              0.0050667,                      0,                0.00793,                0.00793,                0.00793
                     71,               0.016078,               0.013696,               0.015594,                      0,                0.99913,                0.99872,                0.99498,                0.97421,                0.99913,                0.99872,                0.99498,                0.83475,              0.0058968,              0.0070323,              0.0050407,                      0,                 0.0079,                 0.0079,                 0.0079
                     72,                0.01657,                0.01393,               0.015833,                      0,                0.99957,                0.99864,                  0.995,                0.97388,                0.99957,                0.99864,                  0.995,                0.83513,              0.0058274,               0.007012,              0.0050353,                      0,                0.00787,                0.00787,                0.00787
                     73,               0.016076,               0.013698,               0.015514,                      0,                0.99954,                0.99892,                  0.995,                0.97386,                0.99954,                0.99892,                  0.995,                0.83637,               0.005793,              0.0070273,                0.00503,                      0,                0.00784,                0.00784,                0.00784
                     74,               0.016134,               0.013496,               0.015357,                      0,                0.99929,                0.99913,                0.99499,                0.97455,                0.99929,                0.99913,                0.99499,                0.83717,              0.0057378,              0.0070191,              0.0049655,                      0,                0.00781,                0.00781,                0.00781
                     75,               0.016055,               0.013494,               0.015193,                      0,                0.99947,                0.99892,                0.99498,                0.97551,                0.99947,                0.99892,                0.99498,                0.83846,              0.0057109,              0.0069871,              0.0049394,                      0,                0.00778,                0.00778,                0.00778
                     76,                0.01619,               0.013691,               0.015885,                      0,                0.99972,                 0.9987,                0.99499,                0.97504,                0.99972,                 0.9987,                0.99499,                   0.84,              0.0056958,              0.0069561,               0.004935,                      0,                0.00775,                0.00775,                0.00775
                     77,               0.016319,               0.013638,               0.015867,                      0,                0.99957,                0.99867,                0.99499,                0.97542,                0.99957,                0.99867,                0.99499,                0.83953,              0.0056758,              0.0068816,              0.0049442,                      0,                0.00772,                0.00772,                0.00772
